"Envers","https://www.jboss.org/envers","https://www.jboss.org/envers/downloads","http://docs.jboss.org/hibernate/envers/3.6/reference/en-US/html_single/","http://opensource.atlassian.com/projects/hibernate/browse/HHH","http://github.com/hibernate/hibernate-core/tree/master/hibernate-envers/","",""
"Errai","https://www.jboss.org/errai","https://www.jboss.org/errai/Downloads","https://www.jboss.org/errai/Documentation","https://jira.jboss.org/jira/browse/ERRAI","https://github.com/errai","ASL","http://www.apache.org/licenses/LICENSE-2.0"
"eXo JCR","https://www.jboss.org/exojcr","https://www.jboss.org/exojcr/downloads","https://www.jboss.org/exojcr/documentation","https://jira.jboss.org/browse/EXOJCR","http://fisheye.jboss.org/changelog/exo-jcr","",""
"Forge","http://docs.jboss.org/author/display/FORGE/Home","","http://docs.jboss.org/author/display/FORGE","http://issues.jboss.org/browse/FORGE","http://github.com/forge/core","",""
"GateIn","https://www.jboss.org/gatein","https://www.jboss.org/gatein/downloads","https://www.jboss.org/gatein/documentation","https://jira.jboss.org/jira/browse/GTNPORTAL","https://github.com/gatein","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"GateIn Portlet Container","https://www.jboss.org/gatein/portletcontainer","https://www.jboss.org/gatein/portletcontainer/downloads","https://www.jboss.org/gatein/portletcontainer/documentation","https://jira.jboss.org/jira/browse/GTNPC","http://anonsvn.jboss.org/repos/gatein/components/pc/","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"Guvnor","https://www.jboss.org/guvnor","","","http://jira.jboss.org/jira/browse/GUVNORSOA","http://anonsvn.jboss.org/repos/guvnor","",""
"Hibernate","http://core.hibernate.org","https://www.jboss.org/hibernate/downloads","https://www.jboss.org/hibernate/docs","https://www.jboss.org/hibernate/issuetracker","https://github.com/hibernate/hibernate-orm","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"Hibernate Metamodel Generator","https://www.jboss.org/hibernate/subprojects/jpamodelgen","https://www.jboss.org/hibernate/subprojects/jpamodelgen/download","https://www.jboss.org/hibernate/subprojects/jpamodelgen/docs","http://opensource.atlassian.com/projects/hibernate/browse/METAGEN","https://github.com/hibernate/hibernate-metamodelgen","ASL","http://www.apache.org/licenses/LICENSE-2.0"
"Hibernate OGM","http://www.hibernate.org/subprojects/ogm.html","https://www.jboss.org/hibernate/subprojects/ogm/download","https://www.jboss.org/hibernate/subprojects/ogm/docs","http://opensource.atlassian.com/projects/hibernate/browse/OGM","https://github.com/hibernate/hibernate-ogm","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"Hibernate Search","http://search.hibernate.org","https://www.jboss.org/hibernate/subprojects/search/download","https://www.jboss.org/hibernate/subprojects/search/docs","http://opensource.atlassian.com/projects/hibernate/browse/HSEARCH","https://github.com/hibernate/hibernate-search","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"Hibernate Shards","http://shards.hibernate.org","https://www.jboss.org/hibernate/subprojects/shards/download","https://www.jboss.org/hibernate/subprojects/shards/docs","http://opensource.atlassian.com/projects/hibernate/browse/HSHARDS","http://anonsvn.jboss.org/repos/hibernate/shards/trunk","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"Hibernate Tools","http://tools.hibernate.org","http://www.jboss.org/tools/download/","http://www.jboss.org/tools/docs","http://opensource.atlassian.com/projects/hibernate/browse/HBX","https://github.com/hibernate/hibernate-tools","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
"Hibernate Validator","http://validator.hibernate.org","https://www.jboss.org/hibernate/subprojects/validator/download","https://www.jboss.org/hibernate/subprojects/validator/docs","https://www.jboss.org/hibernate/subprojects/validator/issuetracker","http://github.com/hibernate/hibernate-validator","ASL","http://www.apache.org/licenses/LICENSE-2.0"
"HornetQ","https://www.jboss.org/hornetq","https://www.jboss.org/hornetq/downloads","https://www.jboss.org/hornetq/docs","https://jira.jboss.org/jira/browse/HORNETQ","https://github.com/hornetq/hornetq","ASL","http://www.apache.org/licenses/LICENSE-2.0"
"Infinispan","https://www.jboss.org/infinispan","https://www.jboss.org/infinispan/downloads","https://www.jboss.org/infinispan/documentation","https://jira.jboss.org/jira/browse/ISPN","http://github.com/infinispan/infinispan","LGPL","http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html"
